group,b,N,batch,factor_idx,log_n,time_ms
single_factor,2,2048,8,3,10,0.1273036766052246
single_factor,2,2048,8,4,10,0.12785663604736328
single_factor,2,2048,8,5,10,0.1278873634338379
single_factor,2,2048,8,6,10,0.12784640312194825
single_factor,2,2048,8,7,10,0.12790783882141113
single_factor,2,2048,8,8,10,0.12768256187438964
single_factor,2,2048,8,9,10,0.12776448249816894
single_factor,2,2048,16,0,10,0.10595328330993653
single_factor,2,2048,16,1,10,0.12783616065979003
single_factor,2,2048,16,2,10,0.12759039878845216
single_factor,2,2048,16,3,10,0.12724224090576172
single_factor,2,2048,16,4,10,0.12784640312194825
single_factor,2,2048,16,5,10,0.1277235221862793
single_factor,2,2048,16,6,10,0.12744704246520996
single_factor,2,2048,16,7,10,0.1276416015625
single_factor,2,2048,16,8,10,0.12718079566955567
single_factor,2,2048,16,9,10,0.1272217559814453
single_factor,2,2048,32,0,10,0.10597375869750976
single_factor,2,2048,32,1,10,0.12823552131652832
single_factor,2,2048,32,2,10,0.12796928405761718
single_factor,2,2048,32,3,10,0.1279487991333008
single_factor,2,2048,32,4,10,0.12800000190734864
single_factor,2,2048,32,5,10,0.1278771209716797
single_factor,2,2048,32,6,10,0.12796928405761718
single_factor,2,2048,32,7,10,0.1279487991333008
single_factor,2,2048,32,8,10,0.1282150363922119
single_factor,2,2048,32,9,10,0.1276416015625
single_factor,2,2048,64,0,10,0.1054412841796875
single_factor,2,2048,64,1,10,0.12783616065979003
single_factor,2,2048,64,2,10,0.12789759635925294
single_factor,2,2048,64,3,10,0.12823552131652832
single_factor,2,2048,64,4,10,0.12802047729492189
single_factor,2,2048,64,5,10,0.12803071975708008
single_factor,2,2048,64,6,10,0.12860416412353515
single_factor,2,2048,64,7,10,0.1275494384765625
single_factor,2,2048,64,8,10,0.1283891201019287
single_factor,2,2048,64,9,10,0.1278668785095215
single_factor,2,2048,128,0,10,0.10764287948608399
single_factor,2,2048,128,1,10,0.12727295875549316
single_factor,2,2048,128,2,10,0.12849151611328125
single_factor,2,2048,128,3,10,0.1278054428100586
single_factor,2,2048,128,4,10,0.12809215545654296
single_factor,2,2048,128,5,10,0.12775424003601074
single_factor,2,2048,128,6,10,0.12801024436950684
single_factor,2,2048,128,7,10,0.12756992340087892
single_factor,2,2048,128,8,10,0.12866559982299805
single_factor,2,2048,128,9,10,0.12800000190734864
single_factor,2,2048,256,0,10,0.10557439804077148
single_factor,2,2048,256,1,10,0.1285427188873291
single_factor,2,2048,256,2,10,0.12849151611328125
single_factor,2,2048,256,3,10,0.13054976463317872
single_factor,2,2048,256,4,10,0.12851200103759766
single_factor,2,2048,256,5,10,0.12818431854248047
single_factor,2,2048,256,6,10,0.1277952003479004
single_factor,2,2048,256,7,10,0.12815360069274903
single_factor,2,2048,256,8,10,0.12924927711486817
single_factor,2,2048,256,9,10,0.12875776290893554
single_factor,2,2048,512,0,10,0.10622976303100586
single_factor,2,2048,512,1,10,0.1298534393310547
single_factor,2,2048,512,2,10,0.12966912269592284
single_factor,2,2048,512,3,10,0.12943360328674317
single_factor,2,2048,512,4,10,0.12964863777160646
single_factor,2,2048,512,5,10,0.1294643211364746
