group,b,c,M,N,a,d,batch_size,triton_ms,bmm_ms,cuda_ms,cuda_error
group1,2,2,4096,4096,2,1024,256,0.101046,0.130131,,
group1,2,2,4096,4096,2,1024,512,0.102014,0.130913,,
group1,2,2,4096,4096,2,1024,1024,0.158934,0.194440,,
group1,2,2,4096,4096,2,1024,2048,0.308357,0.383763,,
group1,2,2,4096,4096,2,1024,4096,0.610628,0.756451,,
group1,2,2,4096,4096,4,512,2,0.100481,0.129538,,
group1,2,2,4096,4096,4,512,4,0.100495,0.130105,,
group1,2,2,4096,4096,4,512,8,0.100939,0.130380,,
group1,2,2,4096,4096,4,512,16,0.101071,0.130517,,
group1,2,2,4096,4096,4,512,32,0.101148,0.129899,,
group1,2,2,4096,4096,4,512,64,0.101352,0.130402,,
group1,2,2,4096,4096,4,512,128,0.100875,0.130189,,
group1,2,2,4096,4096,4,512,256,0.101177,0.129711,,
group1,2,2,4096,4096,4,512,512,0.102117,0.130945,,
group1,2,2,4096,4096,4,512,1024,0.158941,0.194369,,
group1,2,2,4096,4096,4,512,2048,0.308345,0.383646,,
group1,2,2,4096,4096,4,512,4096,0.610534,0.756350,,
group1,2,2,4096,4096,8,256,2,0.100397,0.129359,,
group1,2,2,4096,4096,8,256,4,0.100942,0.129491,,
group1,2,2,4096,4096,8,256,8,0.101043,0.129231,,
group1,2,2,4096,4096,8,256,16,0.101117,0.130453,,
group1,2,2,4096,4096,8,256,32,0.100865,0.130315,,
group1,2,2,4096,4096,8,256,64,0.100752,0.129858,,
group1,2,2,4096,4096,8,256,128,0.100675,0.129653,,
group1,2,2,4096,4096,8,256,256,0.101256,0.129999,,
group1,2,2,4096,4096,8,256,512,0.102143,0.131034,,
group1,2,2,4096,4096,8,256,1024,0.158889,0.192695,,
group1,2,2,4096,4096,8,256,2048,0.308330,0.376389,,
group1,2,2,4096,4096,8,256,4096,0.610463,0.741685,,
group1,2,2,4096,4096,16,128,2,0.100082,0.129940,,
group1,2,2,4096,4096,16,128,4,0.100370,0.130011,,
group1,2,2,4096,4096,16,128,8,0.100745,0.129433,,
group1,2,2,4096,4096,16,128,16,0.100972,0.129446,,
group1,2,2,4096,4096,16,128,32,0.100984,0.129946,,
group1,2,2,4096,4096,16,128,64,0.100915,0.129329,,
group1,2,2,4096,4096,16,128,128,0.100680,0.130064,,
group1,2,2,4096,4096,16,128,256,0.101134,0.129636,,
group1,2,2,4096,4096,16,128,512,0.101855,0.130663,,
group1,2,2,4096,4096,16,128,1024,0.158898,0.192546,,
group1,2,2,4096,4096,16,128,2048,0.308346,0.375838,,
group1,2,2,4096,4096,16,128,4096,0.610598,0.739611,,
group1,2,2,4096,4096,32,64,2,0.099795,0.129596,,
group1,2,2,4096,4096,32,64,4,0.099606,0.129250,,
group1,2,2,4096,4096,32,64,8,0.099956,0.130115,,
group1,2,2,4096,4096,32,64,16,0.100609,0.129620,,
group1,2,2,4096,4096,32,64,32,0.100846,0.129730,,
group1,2,2,4096,4096,32,64,64,0.100656,0.129370,,
group1,2,2,4096,4096,32,64,128,0.100721,0.129596,,
group1,2,2,4096,4096,32,64,256,0.100931,0.129115,,
group1,2,2,4096,4096,32,64,512,0.102070,0.130850,,
group1,2,2,4096,4096,32,64,1024,0.158893,0.193726,,
group1,2,2,4096,4096,32,64,2048,0.308339,0.382823,,
group1,2,2,4096,4096,32,64,4096,0.610533,0.755260,,
group1,2,2,4096,4096,64,32,2,0.100806,0.128880,,
group1,2,2,4096,4096,64,32,4,0.100769,0.129737,,
group1,2,2,4096,4096,64,32,8,0.100899,0.130065,,
group1,2,2,4096,4096,64,32,16,0.100951,0.129991,,
group1,2,2,4096,4096,64,32,32,0.101180,0.130085,,
group1,2,2,4096,4096,64,32,64,0.100811,0.129436,,
group1,2,2,4096,4096,64,32,128,0.101157,0.130280,,
group1,2,2,4096,4096,64,32,256,0.100894,0.129697,,
group1,2,2,4096,4096,64,32,512,0.101942,0.130509,,
group1,2,2,4096,4096,64,32,1024,0.158922,0.193937,,
group1,2,2,4096,4096,64,32,2048,0.308326,0.382777,,
group1,2,2,4096,4096,64,32,4096,0.610541,0.755250,,
group1,2,2,4096,4096,128,16,2,0.100594,0.129477,,
group1,2,2,4096,4096,128,16,4,0.101137,0.129764,,
