,patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
17387,"[[64, 48, 192, 4]]",25088,bmm,0.0276430541998706,0.0276430541998706,9.200399508699914e-05,"[0.027551050204783677, 0.027735058194957675]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17388,"[[64, 64, 64, 4]]",25088,bmm,0.0115475438069552,0.0115475438069552,2.124602906404538e-06,"[0.011549668409861625, 0.011545419204048812]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17389,"[[64, 64, 64, 16]]",25088,bmm,0.0475060241995379,0.0475060241995379,5.4021598771214485e-05,"[0.04756004579830915, 0.04745200260076672]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17390,"[[64, 96, 96, 4]]",25088,bmm,0.0172496213577687,0.0172496213577687,3.541447222230737e-06,"[0.017253162804991007, 0.017246079910546542]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17391,"[[64, 128, 128, 4]]",25088,bmm,0.0232751999166794,0.0232751999166794,0.0002763575990684,"[0.022998842317610978, 0.023551557515747844]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17392,"[[64, 192, 48, 4]]",25088,bmm,0.0204451667959801,0.0204451667959801,9.029055945547482e-07,"[0.020444263890385627, 0.020446069701574743]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17393,"[[64, 192, 192, 4]]",25088,bmm,0.0525057393475435,0.0525057393475435,2.849497832274617e-07,"[0.0525060242973268, 0.05250545439776033]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17394,"[[64, 256, 256, 4]]",25088,bmm,0.0712900711858475,0.0713423518463969,0.0005526822060346,"[0.07059274218045175, 0.07134235184639692, 0.07061148597858846, 0.07194046187214553, 0.07080944208428264, 0.07140542613342404, 0.0717214671894908, 0.07121208682656288, 0.07135918992571533, 0.07191065698862076, 0.07128547201864421]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17395,"[[96, 48, 48, 4]]",25088,bmm,0.0135771852335892,0.0135771852335892,3.740295069292084e-05,"[0.013614588184282184, 0.01353978228289634]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
17396,"[[96, 48, 48, 16]]",25088,bmm,0.055193002440501,0.055193002440501,3.4941255580629715e-05,"[0.05522794369608164, 0.05515806118492037]",bs_first,fp32,NVIDIA_A100-PCIE-40GB
