patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
"[[1, 256, 64, 8]]",25088,dense,0.000309078,0.000309078,0,[0.0003090779855847359],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 12]]",25088,dense,0.000648832,0.000648832,0,[0.0006488316692411899],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 16]]",25088,dense,0.001170736,0.001170736,0,[0.0011707360483705998],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 24]]",25088,dense,0.002793369,0.002793369,0,[0.002793368678539991],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 32]]",25088,dense,0.004984304,0.004984304,0,[0.004984304308891296],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 48]]",25088,dense,0.010342115,0.010342115,6.06E-05,"[0.010281473398208618, 0.010402756556868554]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 64]]",25088,dense,0.016788313,0.016788313,4.57E-06,"[0.016792886704206467, 0.016783738695085048]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 96]]",25088,dense,0.036727732,0.036727732,0.000745411,"[0.03598232120275498, 0.03747314363718033]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 64, 128]]",25088,dense,0.065142453,0.064818182,0.002546172,"[0.06196868419647217, 0.06275933794677258, 0.06548430398106575, 0.06404426135122776, 0.06492282450199127, 0.06471353955566883, 0.0646149180829525, 0.06646659411489964, 0.06385951489210129, 0.06816165335476398, 0.06677720509469509, 0.067936597391963]",bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 256, 2]]",25088,dense,9.28E-05,9.28E-05,0,[9.281778708100319e-05],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 256, 3]]",25088,dense,0.000181565,0.000181565,0,[0.00018156507983803748],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 256, 4]]",25088,dense,0.000279634,0.000279634,0,[0.0002796339988708496],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 256, 6]]",25088,dense,0.000682954,0.000682954,0,[0.000682954490184784],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 256, 8]]",25088,dense,0.001172685,0.001172685,0,[0.0011726847849786281],bs_first,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 256, 256, 12]]",25088,dense,0.002464803,0.002464803,0,[0.0024648034013807774],bs_first,fp16,NVIDIA_A100-PCIE-40GB
