patterns,batch-size,algo,mean,median,iqr,times,bs_position,precision,device_name
"[[1, 768, 192, 16]]",25088,kernel,0.004677182,0.004677182,0,[0.004677181802690029],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 24]]",25088,kernel,0.006992261,0.006992261,1.11E-06,"[0.006993369571864605, 0.006991152092814446]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 32]]",25088,kernel,0.009358273,0.009358273,3.38E-05,"[0.009324448369443416, 0.009392098151147365]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 48]]",25088,kernel,0.014198553,0.014198553,1.99E-06,"[0.014196566864848137, 0.014200539141893388]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 64]]",25088,kernel,0.019222886,0.019222886,5.70E-05,"[0.019165842235088347, 0.019279930740594864]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 192, 96]]",25088,kernel,0.030835172,0.030835172,0.000475806,"[0.030359365977346897, 0.031310977227985856]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 2]]",25088,kernel,0.001978916,0.001978916,0,[0.0019789156690239906],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 3]]",25088,kernel,0.00299988,0.00299988,0,[0.0029998802952468395],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 4]]",25088,kernel,0.003933179,0.003933179,0,[0.00393317935988307],bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 6]]",25088,kernel,0.005930096,0.005930096,1.08E-05,"[0.005919303186237812, 0.005940888822078705]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 8]]",25088,kernel,0.00795808,0.00795808,2.32E-05,"[0.007981249503791333, 0.00793490968644619]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 12]]",25088,kernel,0.012011232,0.012011232,9.48E-05,"[0.012105999514460564, 0.011916464753448963]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 16]]",25088,kernel,0.016506861,0.016506861,0.000403289,"[0.016103571467101573, 0.016910150460898877]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
"[[1, 768, 768, 24]]",25088,kernel,0.025118553,0.025118553,1.05E-07,"[0.025118448212742804, 0.025118657387793064]",bs_last,fp16,NVIDIA_A100-PCIE-40GB
