group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,stage_bmm_ms,total_chain_triton_ms,total_chain_bmm_ms
group2,1024,10,512,9,1,2,2,512,0.086369,0.109183,,
group2,1024,10,1024,0,512,2,2,1,0.086808,0.066248,0.908149,1.067689
group2,1024,10,1024,1,256,2,2,2,0.086739,0.105391,,
group2,1024,10,1024,2,128,2,2,4,0.087107,0.105148,,
group2,1024,10,1024,3,64,2,2,8,0.086911,0.104872,,
group2,1024,10,1024,4,32,2,2,16,0.087192,0.105167,,
group2,1024,10,1024,5,16,2,2,32,0.086903,0.104531,,
group2,1024,10,1024,6,8,2,2,64,0.087120,0.105049,,
group2,1024,10,1024,7,4,2,2,128,0.086931,0.105015,,
group2,1024,10,1024,8,2,2,2,256,0.087031,0.104924,,
group2,1024,10,1024,9,1,2,2,512,0.086794,0.108891,,
group2,1024,10,2048,0,512,2,2,1,0.087294,0.078084,0.907939,1.064841
group2,1024,10,2048,1,256,2,2,2,0.086905,0.105908,,
group2,1024,10,2048,2,128,2,2,4,0.086775,0.105416,,
group2,1024,10,2048,3,64,2,2,8,0.086333,0.105391,,
group2,1024,10,2048,4,32,2,2,16,0.086762,0.105617,,
group2,1024,10,2048,5,16,2,2,32,0.086403,0.105474,,
group2,1024,10,2048,6,8,2,2,64,0.086959,0.105449,,
group2,1024,10,2048,7,4,2,2,128,0.086254,0.105366,,
group2,1024,10,2048,8,2,2,2,256,0.086889,0.105555,,
group2,1024,10,2048,9,1,2,2,512,0.086450,0.109094,,
group2,1024,10,4096,0,512,2,2,1,0.156732,0.152444,1.601005,1.854051
group2,1024,10,4096,1,256,2,2,2,0.158560,0.193261,,
group2,1024,10,4096,2,128,2,2,4,0.158860,0.193186,,
group2,1024,10,4096,3,64,2,2,8,0.158690,0.193608,,
group2,1024,10,4096,4,32,2,2,16,0.158919,0.193359,,
group2,1024,10,4096,5,16,2,2,32,0.159074,0.193227,,
group2,1024,10,4096,6,8,2,2,64,0.158601,0.192821,,
group2,1024,10,4096,7,4,2,2,128,0.158615,0.192241,,
group2,1024,10,4096,8,2,2,2,256,0.159057,0.192068,,
group2,1024,10,4096,9,1,2,2,512,0.159015,0.192964,,
group2,2048,11,2,0,1024,2,2,1,0.081606,0.062541,0.948522,1.075835
group2,2048,11,2,1,512,2,2,2,0.082144,0.097154,,
group2,2048,11,2,2,256,2,2,4,0.082434,0.097524,,
group2,2048,11,2,3,128,2,2,8,0.081997,0.096601,,
group2,2048,11,2,4,64,2,2,16,0.081869,0.096881,,
group2,2048,11,2,5,32,2,2,32,0.081655,0.097111,,
group2,2048,11,2,6,16,2,2,64,0.082290,0.097414,,
group2,2048,11,2,7,8,2,2,128,0.081978,0.096670,,
group2,2048,11,2,8,4,2,2,256,0.082112,0.097096,,
group2,2048,11,2,9,2,2,2,512,0.082550,0.096634,,
group2,2048,11,2,10,1,2,2,1024,0.082425,0.100006,,
group2,2048,11,4,0,1024,2,2,1,0.083183,0.062175,0.940230,1.088693
group2,2048,11,4,1,512,2,2,2,0.082864,0.096166,,
group2,2048,11,4,2,256,2,2,4,0.082485,0.097424,,
group2,2048,11,4,3,128,2,2,8,0.082637,0.096777,,
group2,2048,11,4,4,64,2,2,16,0.082559,0.097076,,
group2,2048,11,4,5,32,2,2,32,0.082309,0.096587,,
group2,2048,11,4,6,16,2,2,64,0.082653,0.096642,,
group2,2048,11,4,7,8,2,2,128,0.082592,0.096487,,
group2,2048,11,4,8,4,2,2,256,0.082570,0.096889,,
group2,2048,11,4,9,2,2,2,512,0.082572,0.097010,,
group2,2048,11,4,10,1,2,2,1024,0.082588,0.100294,,
group2,2048,11,8,0,1024,2,2,1,0.082656,0.061997,0.933218,1.072665
group2,2048,11,8,1,512,2,2,2,0.082654,0.096837,,
group2,2048,11,8,2,256,2,2,4,0.082552,0.097193,,
group2,2048,11,8,3,128,2,2,8,0.082583,0.096998,,
group2,2048,11,8,4,64,2,2,16,0.081897,0.096648,,
group2,2048,11,8,5,32,2,2,32,0.082100,0.096693,,
group2,2048,11,8,6,16,2,2,64,0.082116,0.096627,,
group2,2048,11,8,7,8,2,2,128,0.082146,0.096944,,
group2,2048,11,8,8,4,2,2,256,0.082285,0.096501,,
group2,2048,11,8,9,2,2,2,512,0.082342,0.096719,,
group2,2048,11,8,10,1,2,2,1024,0.082144,0.099610,,
group2,2048,11,16,0,1024,2,2,1,0.083506,0.062544,0.962653,1.095693
group2,2048,11,16,1,512,2,2,2,0.083473,0.097921,,
group2,2048,11,16,2,256,2,2,4,0.082369,0.098387,,
group2,2048,11,16,3,128,2,2,8,0.082806,0.097606,,
group2,2048,11,16,4,64,2,2,16,0.082690,0.098136,,
