group,N,n,batch_size,stage,a,b,c,d,stage_triton_ms,total_chain_triton_ms
group2,2048,11,64,7,8,2,2,128,0.037888,
group2,2048,11,64,8,4,2,2,256,0.037587,
group2,2048,11,64,9,2,2,2,512,0.037994,
group2,2048,11,64,10,1,2,2,1024,0.038066,
group2,2048,11,128,0,1024,2,2,1,0.037722,0.427307
group2,2048,11,128,1,512,2,2,2,0.037607,
group2,2048,11,128,2,256,2,2,4,0.037645,
group2,2048,11,128,3,128,2,2,8,0.037548,
group2,2048,11,128,4,64,2,2,16,0.037440,
group2,2048,11,128,5,32,2,2,32,0.037640,
group2,2048,11,128,6,16,2,2,64,0.037336,
group2,2048,11,128,7,8,2,2,128,0.037510,
group2,2048,11,128,8,4,2,2,256,0.037269,
group2,2048,11,128,9,2,2,2,512,0.037696,
group2,2048,11,128,10,1,2,2,1024,0.037493,
group2,2048,11,256,0,1024,2,2,1,0.038143,0.431318
group2,2048,11,256,1,512,2,2,2,0.038133,
group2,2048,11,256,2,256,2,2,4,0.038175,
group2,2048,11,256,3,128,2,2,8,0.038072,
group2,2048,11,256,4,64,2,2,16,0.038326,
group2,2048,11,256,5,32,2,2,32,0.038011,
group2,2048,11,256,6,16,2,2,64,0.038367,
group2,2048,11,256,7,8,2,2,128,0.038027,
group2,2048,11,256,8,4,2,2,256,0.038138,
group2,2048,11,256,9,2,2,2,512,0.038044,
group2,2048,11,256,10,1,2,2,1024,0.038375,
group2,2048,11,512,0,1024,2,2,1,0.049916,0.565477
group2,2048,11,512,1,512,2,2,2,0.050239,
group2,2048,11,512,2,256,2,2,4,0.050242,
group2,2048,11,512,3,128,2,2,8,0.050274,
group2,2048,11,512,4,64,2,2,16,0.050221,
group2,2048,11,512,5,32,2,2,32,0.050245,
group2,2048,11,512,6,16,2,2,64,0.050254,
group2,2048,11,512,7,8,2,2,128,0.050276,
group2,2048,11,512,8,4,2,2,256,0.050257,
group2,2048,11,512,9,2,2,2,512,0.050247,
group2,2048,11,512,10,1,2,2,1024,0.050256,
group2,2048,11,1024,0,1024,2,2,1,0.083848,0.948470
group2,2048,11,1024,1,512,2,2,2,0.084733,
group2,2048,11,1024,2,256,2,2,4,0.084694,
group2,2048,11,1024,3,128,2,2,8,0.084704,
group2,2048,11,1024,4,64,2,2,16,0.084702,
group2,2048,11,1024,5,32,2,2,32,0.084713,
group2,2048,11,1024,6,16,2,2,64,0.084700,
group2,2048,11,1024,7,8,2,2,128,0.084724,
group2,2048,11,1024,8,4,2,2,256,0.084728,
group2,2048,11,1024,9,2,2,2,512,0.084688,
group2,2048,11,1024,10,1,2,2,1024,0.084712,
group2,2048,11,2048,0,1024,2,2,1,0.156757,1.764291
group2,2048,11,2048,1,512,2,2,2,0.158419,
group2,2048,11,2048,2,256,2,2,4,0.158550,
group2,2048,11,2048,3,128,2,2,8,0.158473,
group2,2048,11,2048,4,64,2,2,16,0.158529,
group2,2048,11,2048,5,32,2,2,32,0.158485,
group2,2048,11,2048,6,16,2,2,64,0.158553,
group2,2048,11,2048,7,8,2,2,128,0.158426,
group2,2048,11,2048,8,4,2,2,256,0.158506,
group2,2048,11,2048,9,2,2,2,512,0.158446,
group2,2048,11,2048,10,1,2,2,1024,0.158570,
group2,2048,11,4096,0,1024,2,2,1,0.306168,3.480279
group2,2048,11,4096,1,512,2,2,2,0.309054,
group2,2048,11,4096,2,256,2,2,4,0.309243,
group2,2048,11,4096,3,128,2,2,8,0.308744,
group2,2048,11,4096,4,64,2,2,16,0.309488,
group2,2048,11,4096,5,32,2,2,32,0.309564,
